Mã căn / Mã căn hộ:,,title,Số phòng ngủ:,Tên phân khu/Lô/Block/Tháp:,Giấy tờ pháp lý:,Đặc điểm căn hộ:,Tình trạng bất động sản:,Mã lô:,Loại hình đất:,Diện tích:,Tầng số:,Tổng số tầng:,Chiều dài:,area,location,Chiều ngang:,Số phòng vệ sinh:,price,Hướng ban công:,Loại hình nhà ở:,Diện tích đất:,description,Giá/m2:,Tình trạng nội thất:,Diện tích sử dụng:,Hướng cửa chính:,Loại hình căn hộ:,Đặc điểm nhà/đất:,Loại hình văn phòng:
10,,BÁN ĐẤT KHU 372 NGUYỄN VĂN LINH DN,2 phòng,Rigel,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,20 m,- 100 m2,"372, Đường Nguyễn Văn Linh, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",5 m,2 phòng,"5,9 tỷ- 100 m2",Tây Bắc,"Nhà ngõ, hẻm",100 m2,"BÁN ĐẤT KHU 372 NGUYỄN VĂN LINH DN 
• DTĐ: 100m2, hướng ĐÔNG NAM, đường 7.5m
• Giá bán: 5.9 tỷ 

BÁN ĐẤT KHU 372 NGUYỄN VĂN LINH DN 
• DTĐ: 100m2, hướng ĐÔNG NAM, đường 7.5m
• Giá bán: 5.9 tỷ",59 triệu/m2,Nội thất đầy đủ,100 m²,Đông Nam,Chung cư,Mặt tiền,Mặt bằng kinh doanh
10,,"Nhà mới đẹp,Phúc Lợi- LB, 34m, 5T,MT4.5,chỉ 2.15tỷ",3 phòng,Rigel,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,20 m,- 34 m2,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",4.5 m,4 phòng,"2,15 tỷ- 34 m2",Tây Bắc,"Nhà mặt phố, mặt tiền",34 m²,"Nhà mới cực đẹp 34m2, mặt tiền rộng 4.5m. Xây 5 tầng chắc chắn. Oto đỗ cửa.
- thiết kế công năng cực kỳ hợp lý
- ban công cảnh quan rộng đẹp tha hồ ngắm cảnh quan vinhome riverside mộng mơ, nhà thoáng mát, ánh sáng tran hòa.Tràn ngập sinh khí.
- nhà gần sát đường lớn Phúc Lợi, ngõ rộng sạch đẹp, đi đâu cũng tiện. Oto đỗ cửa.
- Cách 100m có trường học cấp 2, 200m có trường mầm non. Bán kính 1km chợ, trường, trạm đủ cả. 

Chủ nhà đang cần tiền gấp, xả giá sập sàn chỉ còn 2,15tỷ. 

Em chân dài này rất rất ngon, nên sẽ nhanh bay lắm. Hãy liên hệ Dũng ngay để chớp lấy cơ hội có 102 này nhé. ( Mình là Dũng đã trung tuổi nên Lv rất trung thực và trách nhiệm)","63,24 triệu/m²",Nội thất đầy đủ,34 m²,Đông Nam,Chung cư,Nở hậu,Mặt bằng kinh doanh
10,,Bán đất phước lâm shr dt 81m giá 450 tr,3 phòng,Rigel,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,163 m,- 81 m2,"20, Phước Hưng, Xã Phước Lâm, Huyện Cần Giuộc, Long An",5 m,4 phòng,450 triệu- 81 m2,Tây Bắc,"Nhà mặt phố, mặt tiền",81 m²,bán lô đất cần giuộc xã phước lâm .khu dân cư .giá mềm cho khách tc ít.100% thổ cư .5x16.5 .giá 450 tr .tiện ích có đủ .lh minh anh xem đất,"5,56 triệu/m²",Nội thất đầy đủ,34 m²,Đông Nam,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,nhà bán 800tr,2 phòng,Rigel,Giấy tờ khác,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,2,4 m,- 1 m2,"Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",3 m,1 phòng,800 triệu- 1 m2,Tây Bắc,"Nhà ngõ, hẻm",1 m²,"nhà bán 800tr đường cao lỗ 
nhà 2 lầu 2 phòng 
nhà gần chợ gần trường",800 triệu/m²,Bàn giao thô,34 m²,Tây Bắc,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,Nhà đẹp ngõ 100 Hoàng Quốc Việt vỉa hè ô tô tránh.,4 phòng,Rigel,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,6,4 m,- 46 m2,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",4.6 m,4 phòng,"10,4 tỷ- 46 m2",Tây Bắc,"Nhà ngõ, hẻm",46 m²,"Nhà nằm trong ngõ 100 Hoàng Quốc Viêt ( Nay là phố Nghĩa Đô ). Vị trí cực đẹp, cách mặt phố Nguyễn Văn Huyên kéo dài 30m.
+ Diện tích 46m2, mặt tiền 4.6m. Nhà xây gần 3 năm, 6 tầng thang máy.
+ Đường trước nhà ô tô tránh, vỉa hè 2m. Chủ để lại toàn bộ nội thất cho Khách mua.
+ Giá 10.6 tỷ ( Thương lượng )
+ Sổ vuông đẹp. Chủ cần bán gấp.","226,09 triệu/m²",Bàn giao thô,46 m²,Tây Bắc,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,"Bán nhà hxh 6m Trần Hưng Đạo Q1, trệt 3 lầu st.",3 phòng,Rigel,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,10 m,- 30 m2,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",3.1 m,4 phòng,"7,8 tỷ- 30 m2",Tây Bắc,"Nhà ngõ, hẻm",30 m²,"-Chính chủ cần bán gấp nhà hẻm nhựa 6m xe hơi vô tận nhà hẻm thông,gần đường nguyễn văn cừ ,an dương vương ,nguyễn trãi ,lê hồng phong giao thông thuận tiện đi lại dễ dàng qua các quận ,5,4,7,10,nhà mới đẹp kiên cố chắc chắn dọn vào ở liền ,có 1 phòng khách,1 bếp,3 phòng ngủ rộng lớn ,1 phòng thờ sân phơi,diện tích 140m2,rất phù hợp cho nhu cầu ac mua ở sinh sống và làm việc tại trung tâm tp hoặc có thể làm spa,tiệm nail,phòng khám tại nhà,và đầu tư cho thuê được giá cao.
- Hiện trạng: 1 trệt lửng 2 lầu sân thượng.

- Sổ hồng chính chủ pháp lý đầy đủ mua bán công chứng nhanh.

- Giá bán: 7.8 tỷ bớt lộc cho khách thiện chí.

- Cam kết mọi Thông tin thật 100% (hỗ trợ tận tình AC từ khi mua bán đến kết thúc giao dịch).

- Liên hệ xem nhà: Thu (Miễn TG - MG).",260 triệu/m²,Bàn giao thô,140 m²,Tây Bắc,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,"Nhà MT TMT05,đường nhựa 10m,4,5x23,Trung Mỹ Tây",1 phòng,Rigel,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,23 m,- 87.8 m2,"TMT 05, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",4.5 m,1 phòng,"5,57 tỷ- 87.8 m2",Tây Bắc,"Nhà mặt phố, mặt tiền",87.8 m²,"- Nhà mặt tiền đường Trung Mỹ Tây 05, đường song song Nguyễn Ảnh Thủ
- Diện tích 4,5x23, nhà cấp 4 mới xây đang cho thuê làm quán cafe
- Đường rộng xe container vào được
- Hỗ trợ vay vốn ngân hàng","64,02 triệu/m²",Bàn giao thô,100 m²,Tây Bắc,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,"Bán lô đất 60m2 Đường Bưng Ông Thoàn, Phú Hữu, Q.9",1 phòng,Rigel,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,13 m,- 60 m2,"Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",4.38 m,1 phòng,"2,98 tỷ- 60 m2",Tây Bắc,"Nhà mặt phố, mặt tiền",60 m2,"Chủ cần bán gấp các nền trong khu dân cư samsungvilage, Phường Phú Hữu, Quận 9.
DT: 60m2 Hướng Đông Nam. Đường 10m. Giá 2 tỷ 980 
DT: 61.8m2 Hướng Tây Nam. Đường 8m Giá 3tỷ 100
DT: 64.7m2 Hướng Tây Nam. Đường 9m Giá 3tỷ 150 
DT: 62.8m2 Hướng Tây Bắc. Đường 10m Giá 2 tỷ 980 
DT: 99,2m2 (lô góc) hướng Tây Nam- Đông Nam.Giá 4tỷ 600
Tiện ích: Nằm sát khu công nghệ cao, đi quận 1 chỉ 20', gần trường ĐH FPT, ĐH Hutech, Nguyễn Tất Thành, ...., có khu trung tâm thương mại đông sài gòn đang xây, lượng người thuê nhà ở cực đông, giá thuê rất cao, 12m2 giá 2,5tr/th.
Liên hệ xem đất: - gặp Khúc","49,67 triệu/m2",Bàn giao thô,100 m²,Đông Nam,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,Nhà trệt 200tr tại bình dương,2 phòng,Rigel,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,16.5 m,- 78 m2,"Đường 7B, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",4 m,1 phòng,1 tỷ- 78 m2,Tây Bắc,Nhà phố liền kề,78 m²,"Tháng 12 này tập đoàn Huỳnh gia là chủ đầu tư có đợt ưu đãi cho khách hàng mua nhà chỉ cần 200tr là bạn đã sở hữu nhà trệt 78m2. Tiến độ thanh toán linh hoạt . Pháp lý rõ ràng , sổ Hồng riêng từng căn. Địa chỉ khu đô thị happy home thị trấn Mỹ Phước thị xã bến cát bình dương","12,82 triệu/m²",Bàn giao thô,70 m²,Đông Bắc,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,Thanh toán 900trieu nhận ngay nhà phố 4 tầng,4 phòng,Rigel,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,17 m,- 70 m2,"Đường Nguyễn Văn Tuôi, Thị trấn Bến Lức, Huyện Bến Lức, Long An",5 m,4 phòng,900 triệu- 70 m2,Tây Bắc,"Nhà mặt phố, mặt tiền",70 m²,"Nhà phố ven Sông vàm cỏ đông, mặt tiền Nguyễn Văn Tuôi Thị trấn Bến Lức.
Ngân Hàng hỗ trợ 30%, Ân hạng gốc 24 tháng đầu, Chủ Đầu tư hỗ trợ lãi suất 2 năm đầu.
Nhà Xây thiết kế 1 trệt 2 lầu 1 sân thượng, bãi đậu oto
Đường nhựa trước nhà 11m_ Lòng đường 6m
Pháp lý chuẩn chỉnh, tiến độ xây dựng, bàn gia, nhận nhà, nhận sổ nhanh chóng.
Hình thật, giá trên đã có hỗ trợ ngân hàng. Cảm ơn chợ tốt duyệt tin","12,86 triệu/m²",Bàn giao thô,150 m²,Đông Nam,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,CHÍNH CHỦ CẦN BÁN GẤP NHÀ CUỐI ĐƯỜNG NGUYỄN OANH,4 phòng,Rigel,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,4,15 m,- 75 m2,"Đường Nguyễn Oanh, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",4.5 m,5 phòng,"4,6 tỷ- 75 m2",Tây Bắc,"Nhà mặt phố, mặt tiền",75 m²,"_______ CHÍNH CHỦ CẦN BÁN GẤP CĂN NHÀ TÂM HUYẾT_______
Vị trí: cuối đường Nguyễn Oanh
Nằm ngay mặt tiền đường lớn 12m.
Nhà 1 trệt 1 lửng 3 lầu 4 phòng ngủ, 5 toilet, nhà hoàn thiện theo mẫu nhà tân cổ Châu Âu. Phòng khách, bếp, phòng ăn, sân phơi, phòng giặt riêng, sân đậu xe hơi... Diện tích: 5x15m.Khu dân cư sầm uất tiện kinh doanh mọi ngành nghề.
Camera an ninh 24/24 với nhiều tiện ích xung quanh: Chợ, trường học các cấp,ủy ban, bệnh viện…
Xây dựng kiên cố, có đơn vị uy tín xây dựng cam kết bảo hành đến 10 năm.
Pháp lý đảm bảo tuyệt đối,
Cam kết đúng giá: 4,6 tỷ.giá thật 100% có thương lượng cho khách thiện chí
Ngân hàng hỗ trợ vay từ 5 năm lên đến 20 năm.
Thông tin pháp lý: Sổ hồng hoàn công sang tên công chứng trong ngày","61,33 triệu/m²",Bàn giao thô,250 m²,Đông Nam,Chung cư,Nở hậu,Mặt bằng kinh doanh
10,,Đất Đường Gò Lăng 150m2,4 phòng,Khu TDC Hòa Nhơn,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,4,20 m,- 150 m2,"Gò Lăng 5, Xã Hòa Nhơn, Huyện Hòa Vang, Đà Nẵng",75 m,5 phòng,"1,6 tỷ- 150 m2",Tây Bắc,"Nhà mặt phố, mặt tiền",150 m2,"Bán Đất TDC Đường Gò Lăng 5, Xã Hòa Nhơn
DT7,5X20
Đường 5.5m, lề 3m
Thiện chí gọi điện thoại","10,67 triệu/m2",Bàn giao thô,250 m²,Đông Nam,Chung cư,Mặt tiền,Mặt bằng kinh doanh
10,,Chỉ từ 600tr có thể sở hữu lô đất tại Hòa Lạc,4 phòng,Khu TDC Hòa Nhơn,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,4,15 m,- 75 m2,"Bãi Dài, Xã Tiến Xuân, Huyện Thạch Thất, Hà Nội",5 m,5 phòng,"1,1 tỷ- 75 m2",Tây Bắc,"Nhà mặt phố, mặt tiền",75 m2,"Chỉ từ 600tr anh chị có thể sở hữu lô đất đẹp tại Khu đô thị sinh thái Hòa Lạc
Mặt đường 24m mở rộng 
Gần khu Làng đại học, Khu nghỉ dưỡng sinh thái Xanh Villas và Công nghệ cao Hòa Lạc
Gần Đại lộ Thăng Long, Ga đường sắt đô thị Metro số 5, QL 21
Diện tích từ 75m2 đến 100m2 full thổ cư.
Ngân hàng hỗ trợ vay vốn lên tới 50% giá trị lô đất, Ân hạn nợ gốc 0% năm đầu tiên.
Đầu tư sinh lời tối thiểu 20-30% 1 năm","14,67 triệu/m2",Bàn giao thô,250 m²,Đông Nam,Chung cư,Mặt tiền,Mặt bằng kinh doanh
10,,Bán nhà nhỏ 3*8m,1 phòng,Khu TDC Hòa Nhơn,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,4,15 m,- 22 m2,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh",5 m,1 phòng,"2,25 tỷ- 22 m2",Tây Bắc,"Nhà ngõ, hẻm",22 m²,"Nhà hẻm 3m, DT 3*8. 1 trệt 1 gác suốt. Đầu hẻm vô cạn. Hẻm sạch sẽ ko ngập nước. Gần trường học các cấp, ubnd...sổ hồng. 2ty250","102,27 triệu/m²",Bàn giao thô,44 m²,Đông Bắc,Chung cư,Mặt tiền,Mặt bằng kinh doanh
10,,Đất kiệt Ô tô Võ Văn Kiệt 100m2 p.Thủy Xuân.,1 phòng,Khu TDC Hòa Nhơn,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,4,11 m,- 100 m2,"Đường Võ Văn Kiệt, Phường Thuỷ Xuân, Thành phố Huế, Thừa Thiên Huế",9 m,1 phòng,"1,55 tỷ- 100 m2",Tây Bắc,"Nhà ngõ, hẻm",100 m2,"Cận tết bán nhanh lô đất kiệt Ôtô p.Thủy Xuân bên cạnh trục đường chính Võ Văn Kiệt 100m2, đất ở đô thị 100%.
---------------------------------------------------------------------------
* Khu vực dân cư hiện hữu hiền lành,, không khí thoáng mát an sinh rất tốt, chỉ cách đường chính Võ Văn Kiệt 50m,, Cây xăng Cầu Lim ft đường Thiên Thai chỉ 500m.
* Diện tích: 9*11=100m2(khổ đất 2 mặt tiền,, vuông vắn).
* Hướng: Tây - Bắc.
* Đường: 5m(bê tông sạch sẽ).
* Pháp lý: sổ đỏ chính chủ.
* Giá bán: 16 triệu/m2(thương lượng).
* Rất phù hợp để an cư lâu dài,, hay đầu tư sinh lời.
---------------------------------------------------------------------------
* Liên hệ: 09-1800-1553 gặp Sang hỗ trợ xem đất !","15,5 triệu/m2",Bàn giao thô,44 m²,Tây,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,"SIÊU RẺ: nhà Bạch Mai 31m2 5tầng kinh doanh 3,2tỷ",4 phòng,Khu TDC Hòa Nhơn,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,4,11 m,- 31 m2,"phố bạch mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",9 m,1 phòng,"3,2 tỷ- 31 m2",Tây Bắc,"Nhà mặt phố, mặt tiền",31 m²,"Bán nhà: Bạch Mai diện tích 31m2, 5tầng, mặt tiền 4,4m.
XÂY MỚI- MẶT NGÕ- GẦN PHỐ- LÔ GÓC- KINH DOANH NHỎ
Bạch Mai 31 5 4,4 3,2 QHBT 3DEN6
* Mô tả:
- Ngõ 2.5m. Nhà cách phố 80m, 3 rẽ đến nhà.
- Nhà xây mới, 3 mặt thoáng.
- Thiết kế nhà:
+ Tầng 1: phòng khách, bếp, vs.
+ Tầng 2,3,4: mỗi tầng 1 phòng 1vs.
+ Tầng 5: 1 phòng, 1 sân phơi.
- Nhà phù hợp để ở, làm văn phòng, kinh doanh nhỏ như tạp hóa, cắt tóc, gội đầu...
-giá 3,3tỷ( có thương lượng)
- liên hệ Phương thổ cư( phục vụ miễn phí tất cả khi chốt nhà…)","103,23 triệu/m²",Bàn giao thô,44 m²,Tây,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,"Nhà Đường La Thành, Ba Đình, 42m² x 5T, MT 8.5m",3 phòng,Khu TDC Hòa Nhơn,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,5 m,- 42 m2,"Đường La Thành, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",8.5 m,4 phòng,"4,8 tỷ- 42 m2",Tây Bắc,"Nhà ngõ, hẻm",42 m²,"Bán nhà Đường La Thành, Ba Đình, Hà Nội.
+ Diện tích sổ 31m2, từ tầng 2 đua 42m2, 5 Tầng, Mặt tiền 8.5m.
+ Nhà thuộc khu vực trung tâm quận Ba Đình, an ninhtốt, dân trí cao, thuận lợi cho cuộc sống và công việc.
+ Đường trước nhà rộng hơn 2m, đi bộ vài bước ra đường ô tô thông.
+ Nhà thiết kế hiện đại, chăm chút tỉ mỉ đến từng viên gạch, ở rất có lộc. Tặng toàn bộ nội thất xịn xò cho khách thiện chí.

- Tầng 1: Bếp ăn, wc.
- Tầng 2: Phòng khách, 1 phòng ngủ, wc.
- Tầng 3: Phòng ngủ, phòng lưu niệm, wc.
- Tầng 4: Phòng ngủ, phòng quần áo, wc.
- Tầng 5: Phòng thờ, sân phơi.

+ Sổ đỏ đẹp sẵn sàng giao dịch.
+ Giá: 4.8 tỷ có thương lượng.
+ Liên hệ: Mr. Đại (094-285-88-92 or 03-344-125-03 zalo) miễn mọi hình thức TG & MG, chỉ gặp người mua trực tiếp.","114,29 triệu/m²",Nội thất cao cấp,200 m²,Tây,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,Nền thổ cư hẻm 135/19 Đồng Văn Cống,3 phòng,Khu TDC Hòa Nhơn,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,8.5 m,- 49 m2,"Đường Đồng Văn Cống, Phường An Thới, Quận Bình Thuỷ, Cần Thơ",5.8 m,4 phòng,"1,27 tỷ- 49 m2",Tây Bắc,"Nhà ngõ, hẻm",49 m2,"BÁN NỀN HẺM 235 ĐỒNG VĂN CỐNG, P AN THỚI, CẤP PHÉP XD CHÍNH 
• Giá thương lượng cho khách có thiện chí
• DT 5,8mx8,5m 49m2 thổ cư 100%
• Lộ Giới 4m, Xe 7 chỗ tới nền
• Hướng đông nam, Khu dân cư đông đúc, xây nhà được ngay","25,92 triệu/m2",Nội thất cao cấp,200 m²,Đông Nam,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
10,,"Đất 2 MT đg Cầu Xây 2, Tân Phú, Quận 9. 301m2",3 phòng,Khu TDC Hòa Nhơn,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,26.6 m,- 301 m2,"Đường Cầu Xây 2, Phường Tân Phú, Quận 9, Tp Hồ Chí Minh",11.3 m,4 phòng,15 tỷ- 301 m2,Tây Bắc,"Nhà ngõ, hẻm",301 m2,"Bán 2 lô đất liền kề đường Cầu Xây 2, P. Tân Phú, Quận 9. Thuận tiện kinh doanh đa ngành nghề...
- Diện tích công nhận: 301m2 
- Giá cực rẻ chỉ 50tr/m2 cho thổ cư (còn thương lượng)","49,83 triệu/m2",Nội thất cao cấp,200 m²,Đông Nam,Chung cư,Nở hậu,Mặt bằng kinh doanh
10,,đất chính chủ 2 mặt tiền,3 phòng,Khu TDC Hòa Nhơn,Đã có sổ,Căn góc,Đã bàn giao,10,Đất thổ cư,66 m²,10,5,20 m,- 100 m2,"Đường Mimosa, Phường 10, Thành phố Đà Lạt, Lâm Đồng",5 m,4 phòng,300 triệu- 100 m2,Tây Bắc,"Nhà ngõ, hẻm",100 m2,"đường 11m, khu dân cư hiện hữu
view đồi thông, mặt hướng thủy
xây dựng tự do 
liên hệ:",3 triệu/m2,Nội thất cao cấp,200 m²,Đông Nam,Chung cư,Nở hậu,Mặt bằng kinh doanh
10,,Đất Đông vĩnh 65m² 720tr,3 phòng,45,Đã có sổ,Căn góc,Đã bàn giao,405,Đất thổ cư,66 m²,10,5,10 m,- 65 m2,"Đường Trần Nhật Duật, Phường Đông Vĩnh, Thành phố Vinh, Nghệ An",6.5 m,4 phòng,720 triệu- 65 m2,Tây Bắc,"Nhà ngõ, hẻm",65 m2,"Dự án: Đông vĩnh
Thông tin chi tiết: Cần bán nhanh lô đất 65m2 hướng đông bắc đường thông 5m gáng trường mần non, trường tiểu học đông vĩnh. Ai quan tâm liên hệ","11,08 triệu/m2",Nội thất cao cấp,200 m²,Đông Bắc,Chung cư,Nở hậu,Mặt bằng kinh doanh
10,,Đất đại lộc 125m² kề lô góc giá 355tr hổ trợ vay 0,3 phòng,o,Đã có sổ,Căn góc,Đã bàn giao,19,Đất thổ cư,66 m²,10,5,25 m,- 125 m2,"Đường Quốc Lộ 14B, Xã Đại Hiệp, Huyện Đại Lộc, Quảng Nam",5 m,4 phòng,355 triệu- 125 m2,Tây Bắc,"Nhà ngõ, hẻm",125 m2,"Dự án: đại lộc
Thông tin chi tiết: Khu này cách cụm công nghiệp 500m á anh, cụm công nghiệp sắp mở đã đền bù đất ruộng cho người dân,Đường này là 1 trong 2 con đường lớn Đại hiệp nên lượng hàng nó khan hiếm lắm. Hiện trên này tách thửa cũng khó vì đã có quy hoạch cụm công nghiệp rồi.
Tranh thủ mua chứ qua năm đất nó ít mà giá cả chắc sẽ cao hơn
Từ chỗ này e đi vô Ub và trạm Y Tế chỉ có 700m
Trường Mầm non thì cách đó 700m
Nên con đường này sau này sẽ là trung tâm kết nối Ccoong nghiệp và tỉnh lộ 609b đi Ái Nghĩa. Hiện tại thì bên em còn vài lô anh chị tranh thủ đi xem sớm hoặc để lại sdt em sẽ tư vấn thêm nhé !","2,84 triệu/m2",Nội thất cao cấp,200 m²,Tây Nam,Chung cư,Nở hậu,Mặt bằng kinh doanh
10,,BÁN 290M BIỆT THỰ SẴN TẠI HỒ YÊN BÀI CỰC ĐẸP,3 phòng,o,Đã có sổ,Căn góc,Đã bàn giao,19,Đất thổ cư,66 m²,10,5,25 m,- 290 m2,"Đường Quốc Lộ 414, Xã Yên Bài, Huyện Ba Vì, Hà Nội",5 m,4 phòng,4 tỷ- 290 m2,Tây Bắc,"Nhà ngõ, hẻm",290 m2,"- BÁN BIỆT THỰ SẴN 290M2 TẠI HỒ YÊN BÀI

- Nằm trong quần thể những khu homestay, biệt thự của đại gia Hà Nội
- Tổng diện tích 290m2
- Đường xá giao thông thuận tiện, ô tô 45 chỗ vào thoải mái
- Sẵn biệt thự khang trang, bể bơi riêng, bếp...
- Sổ sách pháp lí rõ ràng
- Khuôn viên rộng đẹp, sạch sẽ, có đường dạo xung quanh đất
- Liên hệ _ Đỗ Sinh để biết thêm thông tin chi tiết !","13,79 triệu/m2",Nội thất cao cấp,200 m²,Tây Nam,Chung cư,Nở hậu,Mặt bằng kinh doanh
10,,Nhà K20,2 phòng,o,Đã có sổ,Căn góc,Đã bàn giao,19,Đất thổ cư,66 m²,10,5,25 m,- 86 m2,"K20, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",5 m,1 phòng,"3,4 tỷ- 86 m2",Tây Bắc,"Nhà mặt phố, mặt tiền",86 m²,"Bán nhanh nhà đẹp mặt tiền đường K20,
Diện tích: 86m2, ngang 5m, đường 5m5
Nhà đẹp, mặt tiền. Phù hợp vừa ở vừa kinh doanh
Giá bán: 3 tỷ 4","39,53 triệu/m²",Nội thất cao cấp,200 m²,Tây Nam,Chung cư,Nở hậu,Mặt bằng kinh doanh
10,,1 Căn - Mới Xây Đầu Năm -cạnh KDC Tên Lửa,3 phòng,o,Đã có sổ,Căn góc,Đã bàn giao,19,Đất thổ cư,66 m²,10,5,20 m,- 90 m2,"Đường Nguyễn Cửu Phú, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh",4.5 m,3 phòng,"4,95 tỷ- 90 m2",Tây Bắc,"Nhà mặt phố, mặt tiền",90 m²,"- Tôi Tuấn môi giới Bình Tân cần bán gấp Nhà 1 trệt - 2 lầu, mặt tiền đường lớn, cách Aeon Mall Bình Tân chỉ 8 phút đi xe máy

- Có 4 căn, đã giao dịch mua bán 3 căn, chỉ còn 1 căn như hình.

- Diện tích: 4.5m x 20m. Xây dựng kiên cố 3.5 Tấm

- Khu vực An Ninh, có camera quan sát, đồn công an.

- Trong bán kính 300m có chợ, bách hóa xanh, tgdd, bệnh viện,...

Vị trí: Nguyễn Cửu Phú, Tân Tạo A, quận Bình Tân

- Nhà xây dựng kiên cố MÓNG ÉP CỌC BÊ TÔNG.

- Tặng nội thất trong nhà:
1. Màn Rèm cao cấp hai lớp, von + lụa.
2. Máy nước nóng năng lượng mặt trời cao cấp 160 Lít.
3. Hai tủ quần áo cao cấp
4. Thiết bị vệ sinh (Sen cây, Vòi nước nóng lạnh, Lavabo)
5. Tủ bếp gỗ trên, tủ bếp.

- Nhà hoàn thiện tất cả có 3 Phòng, 3Toilet riêng, Phòng giặt, Sân thượng.

- Gía chốt : 4.95 tỷ (Bao tất cả các chi phí, sang tên cho khách hàng).

Xem Nhà ngay hôm nay: gặp Tuấn.",55 triệu/m²,Nội thất cao cấp,270 m²,Nam,Chung cư,Nở hậu,Mặt bằng kinh doanh
10,,"BÁN NHÀ HẺM THÔNG XE HƠI HOÀNG HỮU NAM,Q9, SHR",2 phòng,o,Đã có sổ,Căn góc,Đã bàn giao,19,Đất thổ cư,66 m²,10,5,20 m,- 55 m2,"Đường Hoàng Hữu Nam, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",5 m,1 phòng,725 triệu- 55 m2,Tây Bắc,"Nhà ngõ, hẻm",55 m²,"Bán nhà 1 trệt 1 lầu đường Hoàng Hữu Nam, Q9 gần BXMĐ mới.

Nhà mới ac chỉ cần thanh toán dọn vào ở ngay.
- Diện tích: 55m2, bề ngang 5m. công nhận đủ.
 - Nhà hẻm nhựa 4m, thông thoáng- không ngập úng.
- nằm trong khu dân cư mới, chợ, trường học nằm trong bán kính 3km
- Pháp lý: Sổ hồng riêng, sang tên trong ngày
- gần bách hóa xanh, chợ, tiện cho ac kinh doanh và cho thuê.
>>> Liên hệ Mến để trao đổi rõ hơn, giá có thể thương lượng, Không tiếp môi giới <<<","13,18 triệu/m²",Nội thất cao cấp,270 m²,Nam,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
